ts_utc,o,h,l,c,v
2026-01-22T15:33:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T15:34:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T15:35:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T15:36:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T15:37:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T15:38:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T15:39:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T15:40:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T15:41:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T15:42:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T15:43:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T15:44:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T15:45:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T15:46:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T15:47:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T15:48:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T15:49:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T15:50:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T15:51:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T15:52:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T15:53:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T15:54:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T15:55:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T15:56:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T15:57:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T15:58:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T15:59:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T16:00:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T16:01:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T16:02:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T16:03:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T16:04:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T16:05:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T16:06:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T16:07:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T16:08:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T16:09:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T16:10:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T16:11:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T16:12:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T16:13:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T16:14:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T16:15:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T16:16:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T16:17:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T16:18:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T16:19:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T16:20:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T16:21:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T16:22:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T16:23:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T16:24:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T16:25:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T16:26:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T16:27:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T16:28:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T16:29:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T16:30:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T16:31:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T16:32:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T16:33:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T16:34:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T16:35:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T16:36:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T16:37:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T16:38:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T16:39:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T16:40:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T16:41:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T16:42:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T16:43:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T16:44:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T16:45:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T16:46:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T16:47:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T16:48:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T16:49:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T16:50:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T16:51:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T16:52:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T16:53:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T16:54:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T16:55:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T16:56:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T16:57:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T16:58:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T16:59:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T17:00:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T17:01:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T17:02:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T17:03:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T17:04:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T17:05:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T17:06:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T17:07:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T17:08:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T17:09:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T17:10:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T17:11:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T17:12:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T17:13:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T17:14:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T17:15:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T17:16:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T17:17:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T17:18:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T17:19:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T17:20:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T17:21:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T17:22:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T17:23:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T17:24:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T17:25:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T17:26:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T17:27:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T17:28:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T17:29:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T17:30:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T17:31:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T17:32:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T17:33:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T17:34:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T17:35:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T17:36:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T17:37:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T17:38:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T17:39:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T17:40:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T17:41:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T17:42:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T17:43:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T17:44:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T17:45:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T17:46:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T17:47:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T17:48:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T17:49:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T17:50:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T17:51:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T17:52:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T17:53:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T17:54:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T17:55:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T17:56:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T17:57:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T17:58:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T17:59:00Z,479.91,479.98,479.89,479.95,1015
2026-01-22T18:00:00Z,479.95,480.02,479.93,479.99,980
2026-01-22T18:01:00Z,479.99,480.05,479.97,480.03,990
2026-01-22T18:02:00Z,480.03,480.08,480.01,480.06,1010
2026-01-22T18:03:00Z,480.06,480.10,480.03,480.08,1000
2026-01-22T18:04:00Z,480.08,480.12,480.04,480.07,995
2026-01-22T18:05:00Z,480.07,480.10,480.02,480.05,1005
2026-01-22T18:06:00Z,480.05,480.08,480.00,480.03,990
2026-01-22T18:07:00Z,480.03,480.06,479.98,480.01,985
2026-01-22T18:08:00Z,480.01,480.04,479.96,479.99,1015
2026-01-22T18:09:00Z,479.99,480.02,479.94,479.97,1000
2026-01-22T18:10:00Z,479.97,480.00,479.92,479.95,1005
2026-01-22T18:11:00Z,479.95,479.98,479.90,479.93,980
2026-01-22T18:12:00Z,479.93,479.96,479.88,479.91,1025
2026-01-22T18:13:00Z,479.91,479.94,479.86,479.89,990
2026-01-22T18:14:00Z,479.89,479.92,479.84,479.87,995
2026-01-22T18:15:00Z,479.87,479.90,479.82,479.85,1000
2026-01-22T18:16:00Z,479.85,479.89,479.83,479.86,1010
2026-01-22T18:17:00Z,479.86,479.91,479.84,479.88,1005
2026-01-22T18:18:00Z,479.88,479.94,479.86,479.91,1020
2026-01-22T18:19:00Z,479.91,479.98,479.89,479.95,1015
